,Model,Validation Score(Before tuning),Validation Score(After tuning)
0,Linear Regression,0.002222508333733735,0.002222508333733736
1,Random Forest,0.0007962447976456351,0.0007626480998407746
2,K Nearest Neighbours,0.0016526342608090905,0.0012086493839543941
3,Support Vector Machine,0.0075190868239877915,0.0075190868239877915
4,XGBoost,0.003527101933006368,0.0008764567258719733
5,Light GBM,0.0011734921863587597,0.001060052496590545
6,CatBoost,0.0009409914956930112,0.0007597253065253093
