iter	Passed	Remaining
410	4032	5779
411	4042	5768
412	4052	5759
413	4061	5749
414	4071	5739
415	4081	5729
416	4090	5718
417	4099	5708
418	4108	5697
419	4117	5686
420	4126	5675
421	4136	5665
422	4145	5655
423	4157	5647
424	4168	5639
425	4181	5634
426	4193	5626
427	4203	5617
428	4213	5608
429	4223	5598
430	4232	5587
431	4242	5578
432	4252	5568
433	4261	5557
434	4270	5546
435	4279	5536
436	4289	5525
437	4298	5515
438	4307	5504
439	4317	5494
440	4326	5483
441	4336	5474
442	4345	5464
443	4355	5453
444	4364	5442
445	4372	5431
446	4381	5421
447	4391	5410
448	4400	5399
449	4409	5389
450	4418	5378
451	4428	5368
452	4437	5358
453	4446	5347
454	4456	5337
455	4465	5327
456	4474	5316
457	4483	5306
458	4493	5296
459	4502	5286
460	4511	5275
461	4521	5265
462	4530	5254
463	4539	5243
464	4548	5233
465	4558	5223
466	4567	5212
467	4576	5202
468	4585	5191
469	4594	5181
470	4604	5171
471	4613	5160
472	4624	5152
473	4635	5143
474	4644	5133
475	4653	5122
476	4662	5112
477	4672	5102
478	4681	5092
479	4690	5081
480	4700	5072
481	4709	5061
482	4719	5051
483	4727	5040
484	4737	5030
485	4746	5019
486	4756	5010
487	4765	4999
488	4774	4989
489	4784	4979
490	4793	4969
491	4802	4958
492	4811	4948
493	4820	4937
494	4830	4928
495	4839	4917
496	4848	4906
497	4857	4896
498	4865	4885
499	4874	4874
500	4884	4864
501	4893	4854
502	4902	4844
503	4912	4834
504	4921	4824
505	4932	4815
506	4942	4806
507	4952	4796
508	4961	4786
509	4971	4776
510	4980	4766
511	4990	4756
512	5000	4746
513	5010	4737
514	5020	4728
515	5030	4718
516	5038	4707
517	5047	4697
518	5056	4686
519	5065	4676
520	5075	4665
521	5084	4655
522	5092	4644
523	5101	4634
524	5111	4624
525	5119	4613
526	5129	4604
527	5138	4593
528	5147	4583
529	5156	4572
530	5166	4562
531	5175	4552
532	5184	4542
533	5194	4532
534	5203	4523
535	5213	4513
536	5222	4502
537	5231	4492
538	5241	4482
539	5250	4472
540	5259	4462
541	5268	4452
542	5277	4441
543	5286	4431
544	5295	4421
545	5305	4411
546	5314	4401
547	5324	4391
548	5333	4381
549	5342	4371
550	5351	4360
551	5360	4350
552	5370	4340
